USEDESC,MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,2,215.71644277829844,209.0909090909091,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,3,158.2608695652174,158.2608695652174,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,5,170.45454545454547,170.45454545454547,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,7,318.7758881490592,175.43859649122808,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,8,202.7468933943754,202.7468933943754,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,9,217.27272727272728,217.27272727272728,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,10,278.08378705384155,278.08378705384155,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2020,12,180.37549407114625,180.37549407114625,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,2,123.71134020618555,123.71134020618555,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,3,216.44385026737967,216.44385026737967,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,6,181.11831442463537,181.11831442463537,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,7,169.31216931216932,169.31216931216932,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,8,208.26455020374448,218.1818181818182,5
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,9,152.20941600205816,152.20941600205816,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,10,147.19411223551057,147.19411223551057,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,11,227.27272727272728,227.27272727272728,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2021,12,182.87539156439226,176.44443370744122,4
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,1,257.88770053475935,257.88770053475935,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,2,325.73231571871395,325.73231571871395,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,3,167.44548286604362,167.44548286604362,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,4,214.6716064631347,187.2708034381296,4
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,5,309.0676391079072,309.0676391079072,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,6,276.86750075857236,286.3636363636364,5
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,7,325.12362832251006,254.20699803793332,6
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,8,232.5228817171945,200.0,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,9,265.5063598952488,265.5063598952488,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,10,206.11888111888115,227.27272727272728,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,11,366.70157998149614,366.70157998149614,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2022,12,221.9420864018749,202.7143908722856,4
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,2,226.842058179675,226.842058179675,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,3,229.75177579570646,237.59558198810535,4
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,4,289.6219099811601,278.4134694212166,4
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,5,184.81800766283527,184.81800766283527,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,7,364.7058823529411,364.7058823529411,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,8,232.92517286038577,208.61341082296178,4
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,9,261.7647058823529,261.7647058823529,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,10,299.3236336417663,337.63057142857144,3
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,11,193.67909238249595,193.67909238249595,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2023,12,258.1818181818182,258.1818181818182,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,1,290.42690815006466,290.42690815006466,1
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,2,302.95792819157305,302.95792819157305,2
CONDOMINIUM,14TH WARD - PITTSBURGH,2024,3,201.417004048583,201.417004048583,1
