MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
10TH WARD -  MCKEESPORT,2023,9,65.60765895953757,65.60765895953757,1
10TH WARD -  MCKEESPORT,2023,10,62.972972972972975,62.972972972972975,1
10TH WARD -  MCKEESPORT,2023,11,43.7636761487965,43.7636761487965,1
10TH WARD -  MCKEESPORT,2023,12,,,0
10TH WARD -  MCKEESPORT,2024,1,,,0
10TH WARD -  MCKEESPORT,2024,2,33.703395642547456,33.703395642547456,2
10TH WARD -  MCKEESPORT,2024,3,,,0
10TH WARD -  MCKEESPORT,2024,4,,,0
10TH WARD -  MCKEESPORT,2024,5,15.444905486399264,15.444905486399264,1
10TH WARD -  MCKEESPORT,2024,6,,,0
10TH WARD -  MCKEESPORT,2024,7,,,0
10TH WARD -  MCKEESPORT,2024,8,,,0
10TH WARD -  MCKEESPORT,2024,9,42.45283018867924,42.45283018867924,1
10TH WARD -  MCKEESPORT,2024,10,,,0
10TH WARD -  MCKEESPORT,2024,11,,,0
10TH WARD -  MCKEESPORT,2024,12,,,0
10TH WARD -  MCKEESPORT,2025,1,41.020966271649954,41.020966271649954,1
10TH WARD -  MCKEESPORT,2025,2,,,0
10TH WARD -  MCKEESPORT,2025,3,,,0
10TH WARD -  MCKEESPORT,2025,4,,,0
10TH WARD -  MCKEESPORT,2025,5,15.9846547314578,15.9846547314578,1
10TH WARD -  MCKEESPORT,2025,6,,,0
10TH WARD -  MCKEESPORT,2025,7,,,0
10TH WARD -  MCKEESPORT,2025,8,,,0
10TH WARD -  MCKEESPORT,2025,9,,,0
10TH WARD -  MCKEESPORT,2025,10,,,0
10TH WARD -  MCKEESPORT,2025,11,,,0
10TH WARD -  MCKEESPORT,2025,12,,,0
10TH WARD - PITTSBURGH,2012,1,65.63715451007135,61.567567567567565,7
10TH WARD - PITTSBURGH,2012,2,23.982298264955954,14.534883720930232,11
10TH WARD - PITTSBURGH,2012,3,74.58053994870372,82.00031260520367,10
10TH WARD - PITTSBURGH,2012,4,65.20358585941973,53.7109375,11
10TH WARD - PITTSBURGH,2012,5,58.59703614896677,52.79420928356009,18
10TH WARD - PITTSBURGH,2012,6,65.56809799497383,70.99391480730223,19
10TH WARD - PITTSBURGH,2012,7,70.98183028125702,96.7741935483871,7
10TH WARD - PITTSBURGH,2012,8,52.04156472093216,48.66010854816825,18
10TH WARD - PITTSBURGH,2012,9,40.415383193933174,34.14912973736503,6
10TH WARD - PITTSBURGH,2012,10,47.73964779799337,41.848617176128094,11
10TH WARD - PITTSBURGH,2012,11,70.61688311688312,70.61688311688312,1
10TH WARD - PITTSBURGH,2012,12,34.97885196374622,34.97885196374622,1
10TH WARD - PITTSBURGH,2013,1,63.12906691528084,63.40010473946059,4
10TH WARD - PITTSBURGH,2013,2,72.99601196410768,72.99601196410768,2
10TH WARD - PITTSBURGH,2013,3,48.977135169479766,47.07791637804384,8
10TH WARD - PITTSBURGH,2013,4,90.44444783775461,80.31173807035876,4
10TH WARD - PITTSBURGH,2013,5,64.1577146524374,47.012971051487135,6
10TH WARD - PITTSBURGH,2013,6,34.01469287803551,34.01469287803551,2
