MUNIDESC,SALE_YEAR,annual_sale_count
PENNSBURY VILLAGE,2020,26
PENNSBURY VILLAGE,2021,26
PENNSBURY VILLAGE,2022,31
PENNSBURY VILLAGE,2023,25
PENNSBURY VILLAGE,2024,30
PENNSBURY VILLAGE,2025,3
PINE,2012,134
PINE,2013,131
PINE,2014,64
PINE,2015,64
PINE,2016,64
PINE,2017,122
PINE,2018,102
PINE,2019,87
PINE,2020,161
PINE,2021,171
PINE,2022,165
PINE,2023,127
PINE,2024,133
PINE,2025,38
PITCAIRN,2012,14
PITCAIRN,2013,10
PITCAIRN,2014,1
PITCAIRN,2015,2
PITCAIRN,2016,9
PITCAIRN,2017,7
PITCAIRN,2018,9
PITCAIRN,2019,6
PITCAIRN,2020,5
PITCAIRN,2021,14
PITCAIRN,2022,18
PITCAIRN,2023,15
PITCAIRN,2024,13
PITCAIRN,2025,6
PLEASANT HILLS,2012,69
PLEASANT HILLS,2013,65
PLEASANT HILLS,2014,25
PLEASANT HILLS,2015,24
PLEASANT HILLS,2016,49
PLEASANT HILLS,2017,51
PLEASANT HILLS,2018,40
PLEASANT HILLS,2019,25
PLEASANT HILLS,2020,50
PLEASANT HILLS,2021,83
PLEASANT HILLS,2022,91
PLEASANT HILLS,2023,71
PLEASANT HILLS,2024,84
PLEASANT HILLS,2025,24
PLUM,2012,202
PLUM,2013,157
PLUM,2014,51
PLUM,2015,75
PLUM,2016,109
PLUM,2017,135
PLUM,2018,114
PLUM,2019,102
PLUM,2020,180
PLUM,2021,206
PLUM,2022,220
PLUM,2023,209
PLUM,2024,199
PLUM,2025,88
PORT VUE,2012,32
PORT VUE,2013,20
PORT VUE,2014,6
PORT VUE,2015,11
PORT VUE,2016,18
PORT VUE,2017,15
PORT VUE,2018,18
PORT VUE,2019,20
PORT VUE,2020,33
PORT VUE,2021,29
PORT VUE,2022,41
PORT VUE,2023,38
PORT VUE,2024,43
PORT VUE,2025,13
RANKIN,2012,15
RANKIN,2013,4
RANKIN,2015,1
RANKIN,2016,1
RANKIN,2017,1
RANKIN,2018,1
RANKIN,2019,3
RANKIN,2020,3
RANKIN,2021,2
RANKIN,2022,1
RANKIN,2023,2
RANKIN,2024,4
RANKIN,2025,2
RESERVE,2012,39
RESERVE,2013,17
RESERVE,2014,11
RESERVE,2015,11
RESERVE,2016,17
RESERVE,2017,19
RESERVE,2018,21
RESERVE,2019,12
RESERVE,2020,20
RESERVE,2021,20
RESERVE,2022,26
RESERVE,2023,32
RESERVE,2024,35
RESERVE,2025,10
RICHLAND,2012,135
RICHLAND,2013,111
RICHLAND,2014,53
RICHLAND,2015,57
RICHLAND,2016,68
RICHLAND,2017,81
RICHLAND,2018,70
RICHLAND,2019,41
RICHLAND,2020,92
RICHLAND,2021,111
RICHLAND,2022,108
RICHLAND,2023,79
RICHLAND,2024,94
RICHLAND,2025,33
ROBINSON,2012,113
ROBINSON,2013,125
ROBINSON,2014,41
ROBINSON,2015,57
ROBINSON,2016,70
ROBINSON,2017,89
ROBINSON,2018,91
ROBINSON,2019,57
ROBINSON,2020,104
ROBINSON,2021,108
ROBINSON,2022,120
ROBINSON,2023,124
ROBINSON,2024,89
ROBINSON,2025,40
ROSS,2012,286
ROSS,2013,276
ROSS,2014,136
ROSS,2015,141
ROSS,2016,195
ROSS,2017,298
ROSS,2018,221
ROSS,2019,128
ROSS,2020,280
ROSS,2021,305
ROSS,2022,365
ROSS,2023,314
ROSS,2024,304
ROSS,2025,91
ROSSLYN FARMS,2012,6
ROSSLYN FARMS,2013,2
ROSSLYN FARMS,2014,4
ROSSLYN FARMS,2015,2
ROSSLYN FARMS,2016,4
ROSSLYN FARMS,2017,1
ROSSLYN FARMS,2018,3
ROSSLYN FARMS,2019,3
ROSSLYN FARMS,2020,9
ROSSLYN FARMS,2021,2
ROSSLYN FARMS,2022,5
ROSSLYN FARMS,2023,2
ROSSLYN FARMS,2024,6
SCOTT,2012,169
SCOTT,2013,171
SCOTT,2014,79
SCOTT,2015,56
SCOTT,2016,114
SCOTT,2017,92
SCOTT,2018,108
SCOTT,2019,56
SCOTT,2020,124
SCOTT,2021,151
SCOTT,2022,198
SCOTT,2023,171
SCOTT,2024,172
SCOTT,2025,65
SEWICKLEY,2012,41
SEWICKLEY,2013,49
SEWICKLEY,2014,26
SEWICKLEY,2015,35
SEWICKLEY,2016,27
SEWICKLEY,2017,31
SEWICKLEY,2018,29
SEWICKLEY,2019,23
SEWICKLEY,2020,32
SEWICKLEY,2021,32
SEWICKLEY,2022,53
SEWICKLEY,2023,52
SEWICKLEY,2024,58
SEWICKLEY,2025,15
SEWICKLEY HEIGHTS,2012,3
SEWICKLEY HEIGHTS,2013,5
SEWICKLEY HEIGHTS,2014,5
SEWICKLEY HEIGHTS,2015,2
SEWICKLEY HEIGHTS,2016,7
SEWICKLEY HEIGHTS,2017,4
SEWICKLEY HEIGHTS,2018,2
SEWICKLEY HEIGHTS,2019,1
SEWICKLEY HEIGHTS,2020,4
SEWICKLEY HEIGHTS,2021,3
SEWICKLEY HEIGHTS,2022,5
SEWICKLEY HEIGHTS,2023,4
SEWICKLEY HEIGHTS,2024,5
SEWICKLEY HEIGHTS,2025,1
SEWICKLEY HILLS,2012,20
SEWICKLEY HILLS,2013,3
SEWICKLEY HILLS,2014,1
SEWICKLEY HILLS,2015,6
SEWICKLEY HILLS,2016,5
SEWICKLEY HILLS,2017,1
SEWICKLEY HILLS,2018,3
SEWICKLEY HILLS,2019,4
SEWICKLEY HILLS,2020,12
SEWICKLEY HILLS,2021,4
SEWICKLEY HILLS,2022,7
SEWICKLEY HILLS,2023,10
SEWICKLEY HILLS,2024,8
SEWICKLEY HILLS,2025,1
SHALER,2012,236
SHALER,2013,180
SHALER,2014,91
SHALER,2015,117
SHALER,2016,142
SHALER,2017,223
SHALER,2018,170
SHALER,2019,113
SHALER,2020,214
SHALER,2021,196
SHALER,2022,272
SHALER,2023,284
SHALER,2024,268
SHALER,2025,113
SHARPSBURG,2012,9
SHARPSBURG,2013,4
SHARPSBURG,2014,10
SHARPSBURG,2015,10
SHARPSBURG,2016,5
SHARPSBURG,2017,6
SHARPSBURG,2018,27
SHARPSBURG,2019,2
SHARPSBURG,2020,8
SHARPSBURG,2021,3
SHARPSBURG,2022,19
SHARPSBURG,2023,16
SHARPSBURG,2024,9
SHARPSBURG,2025,3
SOUTH FAYETTE,2012,215
SOUTH FAYETTE,2013,158
SOUTH FAYETTE,2014,77
SOUTH FAYETTE,2015,83
SOUTH FAYETTE,2016,114
SOUTH FAYETTE,2017,129
SOUTH FAYETTE,2018,136
SOUTH FAYETTE,2019,103
SOUTH FAYETTE,2020,185
SOUTH FAYETTE,2021,224
SOUTH FAYETTE,2022,177
SOUTH FAYETTE,2023,178
SOUTH FAYETTE,2024,207
SOUTH FAYETTE,2025,70
SOUTH PARK,2012,110
SOUTH PARK,2013,100
SOUTH PARK,2014,21
SOUTH PARK,2015,36
SOUTH PARK,2016,83
SOUTH PARK,2017,72
SOUTH PARK,2018,61
SOUTH PARK,2019,51
SOUTH PARK,2020,90
SOUTH PARK,2021,129
SOUTH PARK,2022,127
SOUTH PARK,2023,104
SOUTH PARK,2024,111
SOUTH PARK,2025,51
SOUTH VERSAILLES,2013,1
SOUTH VERSAILLES,2016,1
SOUTH VERSAILLES,2020,1
SOUTH VERSAILLES,2024,3
SPRINGDALE BORO,2012,19
SPRINGDALE BORO,2013,24
SPRINGDALE BORO,2014,5
SPRINGDALE BORO,2015,3
SPRINGDALE BORO,2016,9
SPRINGDALE BORO,2017,15
SPRINGDALE BORO,2018,8
SPRINGDALE BORO,2019,14
SPRINGDALE BORO,2020,17
SPRINGDALE BORO,2021,25
SPRINGDALE BORO,2022,20
SPRINGDALE BORO,2023,30
SPRINGDALE BORO,2024,21
SPRINGDALE BORO,2025,9
SPRINGDALE TWP,2012,8
SPRINGDALE TWP,2013,11
SPRINGDALE TWP,2014,5
SPRINGDALE TWP,2015,2
SPRINGDALE TWP,2016,8
SPRINGDALE TWP,2017,12
SPRINGDALE TWP,2018,4
SPRINGDALE TWP,2019,3
SPRINGDALE TWP,2020,15
SPRINGDALE TWP,2021,11
SPRINGDALE TWP,2022,14
SPRINGDALE TWP,2023,15
SPRINGDALE TWP,2024,9
SPRINGDALE TWP,2025,8
STOWE,2012,44
STOWE,2013,25
STOWE,2014,13
STOWE,2015,17
STOWE,2016,23
STOWE,2017,30
STOWE,2018,20
STOWE,2019,22
STOWE,2020,22
STOWE,2021,40
STOWE,2022,55
STOWE,2023,46
STOWE,2024,33
STOWE,2025,29
SWISSVALE,2012,70
SWISSVALE,2013,53
SWISSVALE,2014,19
SWISSVALE,2015,24
SWISSVALE,2016,45
SWISSVALE,2017,48
SWISSVALE,2018,39
SWISSVALE,2019,29
SWISSVALE,2020,60
SWISSVALE,2021,54
SWISSVALE,2022,72
SWISSVALE,2023,78
SWISSVALE,2024,67
SWISSVALE,2025,36
TARENTUM,2012,11
TARENTUM,2013,7
TARENTUM,2014,4
TARENTUM,2015,7
TARENTUM,2016,12
TARENTUM,2017,9
TARENTUM,2018,19
TARENTUM,2019,7
TARENTUM,2020,12
TARENTUM,2021,25
TARENTUM,2022,35
TARENTUM,2023,23
TARENTUM,2024,22
TARENTUM,2025,7
THORNBURG,2012,1
THORNBURG,2013,4
THORNBURG,2014,1
THORNBURG,2015,1
THORNBURG,2016,1
THORNBURG,2017,5
THORNBURG,2018,1
THORNBURG,2020,3
THORNBURG,2021,4
THORNBURG,2022,7
THORNBURG,2023,3
THORNBURG,2024,4
TRAFFORD,2020,2
TURTLE CREEK,2012,41
TURTLE CREEK,2013,12
TURTLE CREEK,2014,4
TURTLE CREEK,2015,5
TURTLE CREEK,2016,17
TURTLE CREEK,2017,14
TURTLE CREEK,2018,16
TURTLE CREEK,2019,11
TURTLE CREEK,2020,22
TURTLE CREEK,2021,24
TURTLE CREEK,2022,28
TURTLE CREEK,2023,15
TURTLE CREEK,2024,25
TURTLE CREEK,2025,7
UPPER ST. CLAIR,2012,239
UPPER ST. CLAIR,2013,173
UPPER ST. CLAIR,2014,97
UPPER ST. CLAIR,2015,105
UPPER ST. CLAIR,2016,93
UPPER ST. CLAIR,2017,112
UPPER ST. CLAIR,2018,130
UPPER ST. CLAIR,2019,113
UPPER ST. CLAIR,2020,204
UPPER ST. CLAIR,2021,210
UPPER ST. CLAIR,2022,245
UPPER ST. CLAIR,2023,206
UPPER ST. CLAIR,2024,210
UPPER ST. CLAIR,2025,52
VERONA,2012,20
VERONA,2013,10
VERONA,2014,1
VERONA,2015,2
VERONA,2016,9
VERONA,2017,8
VERONA,2018,7
VERONA,2019,6
VERONA,2020,4
VERONA,2021,9
VERONA,2022,7
VERONA,2023,13
VERONA,2024,16
VERONA,2025,3
VERSAILLES,2012,14
VERSAILLES,2013,4
VERSAILLES,2014,2
VERSAILLES,2016,6
VERSAILLES,2017,4
VERSAILLES,2018,7
VERSAILLES,2019,2
VERSAILLES,2020,9
VERSAILLES,2021,8
VERSAILLES,2022,10
VERSAILLES,2023,2
VERSAILLES,2024,8
VERSAILLES,2025,2
WALL,2012,2
WALL,2014,1
WALL,2017,3
WALL,2020,3
WALL,2021,3
WALL,2022,6
WALL,2023,2
WALL,2024,5
WEST DEER,2012,108
WEST DEER,2013,70
WEST DEER,2014,36
WEST DEER,2015,36
WEST DEER,2016,61
WEST DEER,2017,53
WEST DEER,2018,65
WEST DEER,2019,41
WEST DEER,2020,62
WEST DEER,2021,67
WEST DEER,2022,101
WEST DEER,2023,87
WEST DEER,2024,87
WEST DEER,2025,40
WEST ELIZABETH,2012,2
WEST ELIZABETH,2013,2
WEST ELIZABETH,2015,1
WEST ELIZABETH,2017,1
WEST ELIZABETH,2020,3
WEST ELIZABETH,2021,1
WEST ELIZABETH,2022,3
WEST ELIZABETH,2023,3
WEST ELIZABETH,2024,1
WEST HOMESTEAD,2012,16
WEST HOMESTEAD,2013,10
WEST HOMESTEAD,2014,3
WEST HOMESTEAD,2015,1
WEST HOMESTEAD,2016,5
WEST HOMESTEAD,2017,6
WEST HOMESTEAD,2018,10
WEST HOMESTEAD,2019,7
WEST HOMESTEAD,2020,8
WEST HOMESTEAD,2021,11
WEST HOMESTEAD,2022,20
WEST HOMESTEAD,2023,12
WEST HOMESTEAD,2024,9
WEST HOMESTEAD,2025,2
WEST MIFFLIN,2012,136
WEST MIFFLIN,2013,109
WEST MIFFLIN,2014,40
WEST MIFFLIN,2015,48
WEST MIFFLIN,2016,78
WEST MIFFLIN,2017,100
WEST MIFFLIN,2018,85
WEST MIFFLIN,2019,74
WEST MIFFLIN,2020,155
WEST MIFFLIN,2021,107
WEST MIFFLIN,2022,188
WEST MIFFLIN,2023,190
WEST MIFFLIN,2024,151
WEST MIFFLIN,2025,66
WEST VIEW,2012,64
WEST VIEW,2013,57
WEST VIEW,2014,23
WEST VIEW,2015,27
WEST VIEW,2016,44
WEST VIEW,2017,40
WEST VIEW,2018,47
WEST VIEW,2019,24
WEST VIEW,2020,51
WEST VIEW,2021,50
WEST VIEW,2022,70
WEST VIEW,2023,58
WEST VIEW,2024,53
WEST VIEW,2025,16
WHITAKER,2012,8
WHITAKER,2013,2
WHITAKER,2015,1
WHITAKER,2016,9
WHITAKER,2017,7
WHITAKER,2018,1
WHITAKER,2019,4
WHITAKER,2020,4
WHITAKER,2021,5
WHITAKER,2022,9
WHITAKER,2023,9
WHITAKER,2024,4
WHITAKER,2025,4
WHITE OAK,2012,60
WHITE OAK,2013,44
WHITE OAK,2014,17
WHITE OAK,2015,18
WHITE OAK,2016,37
WHITE OAK,2017,28
WHITE OAK,2018,42
WHITE OAK,2019,33
WHITE OAK,2020,47
WHITE OAK,2021,61
WHITE OAK,2022,70
WHITE OAK,2023,59
WHITE OAK,2024,64
WHITE OAK,2025,21
WHITEHALL,2012,144
WHITEHALL,2013,147
WHITEHALL,2014,49
WHITEHALL,2015,52
WHITEHALL,2016,74
WHITEHALL,2017,73
WHITEHALL,2018,81
WHITEHALL,2019,47
WHITEHALL,2020,114
WHITEHALL,2021,152
WHITEHALL,2022,143
WHITEHALL,2023,111
WHITEHALL,2024,118
WHITEHALL,2025,51
WILKINS,2012,47
WILKINS,2013,34
WILKINS,2014,14
WILKINS,2015,8
WILKINS,2016,37
WILKINS,2017,25
WILKINS,2018,19
WILKINS,2019,27
WILKINS,2020,53
WILKINS,2021,54
WILKINS,2022,73
WILKINS,2023,66
WILKINS,2024,69
WILKINS,2025,24
WILKINSBURG,2012,95
WILKINSBURG,2013,47
WILKINSBURG,2014,16
WILKINSBURG,2015,17
WILKINSBURG,2016,34
WILKINSBURG,2017,44
WILKINSBURG,2018,28
WILKINSBURG,2019,32
WILKINSBURG,2020,57
WILKINSBURG,2021,47
WILKINSBURG,2022,89
WILKINSBURG,2023,75
WILKINSBURG,2024,71
WILKINSBURG,2025,28
WILMERDING,2012,9
WILMERDING,2013,9
WILMERDING,2014,4
WILMERDING,2015,3
WILMERDING,2016,3
WILMERDING,2017,3
WILMERDING,2018,7
WILMERDING,2019,5
WILMERDING,2020,4
WILMERDING,2021,14
WILMERDING,2022,10
WILMERDING,2023,5
WILMERDING,2024,9
WILMERDING,2025,5
