MUNIDESC,SALE_YEAR,annual_sale_count
20TH WARD - PITTSBURGH,2021,80
20TH WARD - PITTSBURGH,2022,115
20TH WARD - PITTSBURGH,2023,85
20TH WARD - PITTSBURGH,2024,99
20TH WARD - PITTSBURGH,2025,36
21ST WARD - PITTSBURGH,2012,12
21ST WARD - PITTSBURGH,2013,8
21ST WARD - PITTSBURGH,2014,7
21ST WARD - PITTSBURGH,2015,5
21ST WARD - PITTSBURGH,2016,4
21ST WARD - PITTSBURGH,2017,10
21ST WARD - PITTSBURGH,2018,10
21ST WARD - PITTSBURGH,2019,2
21ST WARD - PITTSBURGH,2020,5
21ST WARD - PITTSBURGH,2021,9
21ST WARD - PITTSBURGH,2022,9
21ST WARD - PITTSBURGH,2023,7
21ST WARD - PITTSBURGH,2024,11
21ST WARD - PITTSBURGH,2025,3
22ND WARD - PITTSBURGH,2012,28
22ND WARD - PITTSBURGH,2013,7
22ND WARD - PITTSBURGH,2014,7
22ND WARD - PITTSBURGH,2015,8
22ND WARD - PITTSBURGH,2016,7
22ND WARD - PITTSBURGH,2017,5
22ND WARD - PITTSBURGH,2018,6
22ND WARD - PITTSBURGH,2019,3
22ND WARD - PITTSBURGH,2020,5
22ND WARD - PITTSBURGH,2021,15
22ND WARD - PITTSBURGH,2022,13
22ND WARD - PITTSBURGH,2023,7
22ND WARD - PITTSBURGH,2024,15
22ND WARD - PITTSBURGH,2025,9
23RD WARD - PITTSBURGH,2012,25
23RD WARD - PITTSBURGH,2013,6
23RD WARD - PITTSBURGH,2014,1
23RD WARD - PITTSBURGH,2015,4
23RD WARD - PITTSBURGH,2016,6
23RD WARD - PITTSBURGH,2017,12
23RD WARD - PITTSBURGH,2018,8
23RD WARD - PITTSBURGH,2019,6
23RD WARD - PITTSBURGH,2020,8
23RD WARD - PITTSBURGH,2021,13
23RD WARD - PITTSBURGH,2022,15
23RD WARD - PITTSBURGH,2023,18
23RD WARD - PITTSBURGH,2024,9
23RD WARD - PITTSBURGH,2025,5
24TH WARD - PITTSBURGH,2012,51
24TH WARD - PITTSBURGH,2013,17
24TH WARD - PITTSBURGH,2014,7
24TH WARD - PITTSBURGH,2015,8
24TH WARD - PITTSBURGH,2016,12
24TH WARD - PITTSBURGH,2017,11
24TH WARD - PITTSBURGH,2018,18
24TH WARD - PITTSBURGH,2019,14
24TH WARD - PITTSBURGH,2020,14
24TH WARD - PITTSBURGH,2021,23
24TH WARD - PITTSBURGH,2022,27
24TH WARD - PITTSBURGH,2023,36
24TH WARD - PITTSBURGH,2024,15
24TH WARD - PITTSBURGH,2025,10
25TH WARD - PITTSBURGH,2012,42
25TH WARD - PITTSBURGH,2013,13
25TH WARD - PITTSBURGH,2014,8
25TH WARD - PITTSBURGH,2015,7
25TH WARD - PITTSBURGH,2016,11
25TH WARD - PITTSBURGH,2017,16
25TH WARD - PITTSBURGH,2018,19
25TH WARD - PITTSBURGH,2019,9
25TH WARD - PITTSBURGH,2020,10
25TH WARD - PITTSBURGH,2021,18
25TH WARD - PITTSBURGH,2022,28
25TH WARD - PITTSBURGH,2023,25
25TH WARD - PITTSBURGH,2024,15
25TH WARD - PITTSBURGH,2025,16
26TH WARD - PITTSBURGH,2012,73
26TH WARD - PITTSBURGH,2013,46
26TH WARD - PITTSBURGH,2014,25
26TH WARD - PITTSBURGH,2015,27
26TH WARD - PITTSBURGH,2016,33
26TH WARD - PITTSBURGH,2017,45
26TH WARD - PITTSBURGH,2018,38
26TH WARD - PITTSBURGH,2019,21
26TH WARD - PITTSBURGH,2020,34
26TH WARD - PITTSBURGH,2021,47
26TH WARD - PITTSBURGH,2022,54
26TH WARD - PITTSBURGH,2023,58
26TH WARD - PITTSBURGH,2024,57
26TH WARD - PITTSBURGH,2025,30
27TH WARD - PITTSBURGH,2012,111
27TH WARD - PITTSBURGH,2013,56
27TH WARD - PITTSBURGH,2014,18
27TH WARD - PITTSBURGH,2015,37
27TH WARD - PITTSBURGH,2016,44
27TH WARD - PITTSBURGH,2017,47
27TH WARD - PITTSBURGH,2018,49
27TH WARD - PITTSBURGH,2019,43
27TH WARD - PITTSBURGH,2020,47
27TH WARD - PITTSBURGH,2021,56
27TH WARD - PITTSBURGH,2022,92
27TH WARD - PITTSBURGH,2023,90
27TH WARD - PITTSBURGH,2024,69
27TH WARD - PITTSBURGH,2025,34
28TH WARD - PITTSBURGH,2012,70
28TH WARD - PITTSBURGH,2013,38
28TH WARD - PITTSBURGH,2014,14
28TH WARD - PITTSBURGH,2015,28
28TH WARD - PITTSBURGH,2016,34
28TH WARD - PITTSBURGH,2017,39
28TH WARD - PITTSBURGH,2018,50
28TH WARD - PITTSBURGH,2019,26
28TH WARD - PITTSBURGH,2020,52
28TH WARD - PITTSBURGH,2021,54
28TH WARD - PITTSBURGH,2022,80
28TH WARD - PITTSBURGH,2023,84
28TH WARD - PITTSBURGH,2024,69
28TH WARD - PITTSBURGH,2025,24
29TH WARD - PITTSBURGH,2012,98
29TH WARD - PITTSBURGH,2013,54
29TH WARD - PITTSBURGH,2014,16
29TH WARD - PITTSBURGH,2015,26
