MUNIDESC,SF_BUCKET,MEAN_PPSF,MEDIAN_PPSF,STD_PPSF,SAMPLE_SIZE,TIME_BAND
27TH WARD - PITTSBURGH,3001+,32.205916199983974,34.72222222222222,4.470621359590442,3,2012
28TH WARD - PITTSBURGH,0–1000,80.92762034714377,84.0,29.139025744620632,13,2012
28TH WARD - PITTSBURGH,1001–1500,64.36273343778768,65.96035543403964,26.91300666540753,33,2012
28TH WARD - PITTSBURGH,1501–2000,52.67058239762216,58.53315120311022,32.091399824170345,20,2012
28TH WARD - PITTSBURGH,2001–2500,45.22011818504011,31.101582450284518,35.52801015131985,8,2012
29TH WARD - PITTSBURGH,0–1000,53.25070869341863,60.06725514922236,29.642074420893664,10,2012
29TH WARD - PITTSBURGH,1001–1500,35.92305576039656,35.309574829931975,20.97459527074249,40,2012
29TH WARD - PITTSBURGH,1501–2000,26.896145445369754,30.45404208194906,18.33425108373137,31,2012
29TH WARD - PITTSBURGH,2001–2500,20.283511604200587,20.58072507418973,13.09809964687085,12,2012
29TH WARD - PITTSBURGH,2501–3000,31.41549643438271,30.371919788304755,12.621544938173914,4,2012
29TH WARD - PITTSBURGH,3001+,37.14592329837549,37.14592329837549,21.124687858165355,2,2012
2ND WARD  - DUQUESNE,0–1000,32.663316582914575,32.663316582914575,3.5533004079725976,2,2012
2ND WARD  - DUQUESNE,1001–1500,10.242919316392065,6.91085003455425,11.16948064317684,11,2012
2ND WARD  - DUQUESNE,1501–2000,11.874295616953825,6.959910913140312,14.94954870882475,3,2012
2ND WARD  - DUQUESNE,2001–2500,8.231334591701163,7.368163170845921,4.019016359819482,4,2012
2ND WARD  - DUQUESNE,3001+,3.385049365303244,3.385049365303244,,1,2012
2ND WARD - CLAIRTON,0–1000,22.164565430561026,17.8343949044586,15.826180369065067,21,2012
2ND WARD - CLAIRTON,1001–1500,17.971338094998515,12.593283582089551,16.779012406200273,19,2012
2ND WARD - CLAIRTON,1501–2000,15.271193134048229,13.714386335622468,11.360117639671248,8,2012
2ND WARD - CLAIRTON,2001–2500,11.961722488038278,11.961722488038278,,1,2012
2ND WARD - PITTSBURGH,0–1000,213.7885740888534,213.7885740888534,100.87652307689567,2,2012
2ND WARD - PITTSBURGH,1001–1500,193.11202961518805,156.82478218780253,97.21077039710403,27,2012
2ND WARD - PITTSBURGH,1501–2000,206.0186989475286,235.74716330695028,143.24263331232214,4,2012
2ND WARD - PITTSBURGH,2001–2500,228.3993726649784,228.3993726649784,158.4977544657949,2,2012
30TH WARD - PITTSBURGH,0–1000,13.288770429727876,12.239583333333332,7.771454368628321,6,2012
30TH WARD - PITTSBURGH,1001–1500,11.622444136097128,9.66183574879227,5.584837911779234,15,2012
30TH WARD - PITTSBURGH,1501–2000,11.429145682251677,9.554140127388536,7.874570879721974,17,2012
30TH WARD - PITTSBURGH,2001–2500,9.971786819769349,7.553967243474739,6.967061265686658,4,2012
30TH WARD - PITTSBURGH,2501–3000,4.308679875712948,4.308679875712948,0.9256811500327211,2,2012
30TH WARD - PITTSBURGH,3001+,14.696876913655847,14.696876913655847,,1,2012
31ST WARD - PITTSBURGH,0–1000,62.26066114526708,72.43924963924965,26.92850077266283,6,2012
31ST WARD - PITTSBURGH,1001–1500,50.150746681394686,50.803192898781134,24.4214354704443,20,2012
31ST WARD - PITTSBURGH,1501–2000,68.09670185661379,89.9234693877551,47.027344362148256,3,2012
31ST WARD - PITTSBURGH,2001–2500,25.79089339509566,22.93198529411765,15.903828648373043,5,2012
31ST WARD - PITTSBURGH,2501–3000,59.9647266313933,59.9647266313933,,1,2012
32ND WARD - PITTSBURGH,0–1000,59.25604785228198,50.28735632183908,28.014742650637395,7,2012
32ND WARD - PITTSBURGH,1001–1500,55.01151802530199,57.648758160534825,26.637655732425515,32,2012
32ND WARD - PITTSBURGH,1501–2000,60.84228028418762,54.53501722158438,18.511884493630312,7,2012
32ND WARD - PITTSBURGH,2501–3000,29.61198093941457,29.61198093941457,,1,2012
3RD WARD  - DUQUESNE,0–1000,1.0092213114754098,1.0092213114754098,0.3405124868418825,2,2012
3RD WARD  - DUQUESNE,1001–1500,8.651311410137,8.229472859102488,7.041191450974573,6,2012
3RD WARD  - DUQUESNE,1501–2000,16.378232364055904,12.34567901234568,10.59278853635517,3,2012
3RD WARD  - DUQUESNE,2001–2500,9.552845528455284,9.552845528455284,,1,2012
3RD WARD - MCKEESPORT,1501–2000,2.828054298642534,2.828054298642534,,1,2012
3RD WARD - PITTSBURGH,0–1000,108.47830986962225,120.6729648463584,50.764315578336856,12,2012
3RD WARD - PITTSBURGH,1001–1500,135.01157407407408,135.01157407407408,6.792808198898537,2,2012
3RD WARD - PITTSBURGH,2001–2500,132.1499013806706,132.1499013806706,,1,2012
4TH WARD - PITTSBURGH,0–1000,153.106261545837,144.03067678684377,64.4036091352441,8,2012
4TH WARD - PITTSBURGH,1001–1500,79.29182479952404,79.32692307692308,39.58443491334671,35,2012
4TH WARD - PITTSBURGH,1501–2000,66.62268917077847,59.635907093534215,59.931761615003204,21,2012
4TH WARD - PITTSBURGH,2001–2500,73.0742864379713,50.39096437880104,53.837177518187204,9,2012
4TH WARD - PITTSBURGH,3001+,127.60852664470276,154.0140674266311,63.60683895452208,3,2012
5TH WARD  - MCKEESPORT,2501–3000,1.187178472497032,1.187178472497032,,1,2012
5TH WARD - PITTSBURGH,0–1000,10.416666666666666,10.416666666666666,,1,2012
5TH WARD - PITTSBURGH,1001–1500,38.83583173353668,31.61941439965039,38.079519150113676,10,2012
5TH WARD - PITTSBURGH,1501–2000,60.957282830440434,98.94459102902374,53.54861761300647,5,2012
5TH WARD - PITTSBURGH,2001–2500,19.747974046995072,19.747974046995072,6.6111108304170445,2,2012
5TH WARD - PITTSBURGH,3001+,43.76138433515483,43.76138433515483,,1,2012
6TH WARD  - MCKEESPORT,1001–1500,3.781361191373772,2.247191011235955,2.6659729316523197,3,2012
6TH WARD  - MCKEESPORT,1501–2000,7.953340402969247,7.953340402969247,,1,2012
6TH WARD - PITTSBURGH,0–1000,4.166666666666667,4.166666666666667,,1,2012
6TH WARD - PITTSBURGH,1001–1500,69.78843174736971,34.381272193916935,60.386346962594054,22,2012
6TH WARD - PITTSBURGH,1501–2000,74.94677003046566,49.12796413006674,68.67265006035298,14,2012
6TH WARD - PITTSBURGH,2001–2500,24.60018789032439,9.523809523809524,22.24066625932519,5,2012
6TH WARD - PITTSBURGH,2501–3000,54.101896857422346,54.101896857422346,52.38803736792069,2,2012
7TH WARD  - MCKEESPORT,0–1000,9.193121693121693,7.936507936507937,9.290150660938231,3,2012
7TH WARD  - MCKEESPORT,1001–1500,10.788943080581573,8.171977273280287,10.356730171358876,16,2012
7TH WARD  - MCKEESPORT,1501–2000,13.249593489079711,14.116318464144552,11.305235579261481,13,2012
7TH WARD  - MCKEESPORT,2001–2500,4.752078096414396,0.991571641051066,6.903421101473961,3,2012
7TH WARD - PITTSBURGH,0–1000,140.83924449741616,131.69370056414317,52.1288851644455,36,2012
7TH WARD - PITTSBURGH,1001–1500,147.85860396252085,143.22794057959248,52.603670952175136,22,2012
7TH WARD - PITTSBURGH,1501–2000,183.30437343809658,173.4867860187553,65.65979523095702,28,2012
7TH WARD - PITTSBURGH,2001–2500,150.52697106193128,152.08290333363166,40.15221205982932,24,2012
7TH WARD - PITTSBURGH,2501–3000,176.38001317010037,158.8294557057134,74.73313143299309,8,2012
7TH WARD - PITTSBURGH,3001+,162.44788726705494,175.03920882198494,52.65660515831965,11,2012
8TH WARD  - MCKEESPORT,0–1000,33.33513263963569,26.666666666666668,20.33955218054596,5,2012
8TH WARD  - MCKEESPORT,1001–1500,30.136413874529268,26.55942998432567,18.681779631739644,16,2012
