MUNIDESC,avg_ppsf_2020,2021,2022,2023,2024,avg_ppsf_2025,growth_pct,sale_count
FRANKLIN PARK,168.47560434888914,184.72074358693058,196.64102460435248,207.2680407777445,225.3983467076393,229.14094894438816,36.01,708
ROSS,145.28514368642655,161.33991640475332,177.52358326708128,193.7066766103662,196.90372791175827,196.00632524364184,34.91,1659
CASTLE SHANNON,133.05265415005758,145.99624980990427,153.11006500275553,165.20310751624623,179.14442481065126,179.21749174306626,34.7,379
ROBINSON,149.09946080367988,166.70772557293398,181.44693870184162,196.4350417001063,200.32295796929964,200.22274258758944,34.29,585
SHALER,149.21264803734286,166.45441329815986,181.9729500494773,185.8309372010466,201.2650413094705,200.32092264626985,34.25,1347
BALDWIN BORO,138.21652739800194,154.67537064644108,170.3655781865559,174.07834209605488,181.764361024387,185.18599871143297,33.98,909
JEFFERSON HILLS,145.99260615933744,145.93138503453523,172.14550332591602,179.2839181749717,184.57538658193565,194.9694668877046,33.55,403
MCCANDLESS,163.125370141668,177.4794677096512,195.09894902272313,200.84043448497462,216.60565161102753,214.0730319428236,31.23,1378
PINE,176.34887962735863,200.6777739956463,221.7076908032843,223.53310109392342,236.95029403351845,231.13096452338982,31.06,795
MOON,143.9888756805883,158.85341767034276,177.39715845564467,183.75274376472632,187.38623120308998,188.41911422959083,30.86,1207
14TH WARD - PITTSBURGH,211.2623275506089,223.9627085375271,250.3843267123441,261.7633727399666,278.020037394885,273.30541003885634,29.37,1087
WHITEHALL,144.6274883137244,158.1334499236022,173.492589538204,182.17966126684178,193.85710160641617,187.05246004044034,29.33,689
ELIZABETH TWP,112.8763505978276,119.95052938313832,140.58469500375912,139.47899761690212,150.10622068505756,145.09721779034567,28.55,432
OAKMONT,147.48978491484408,176.19611805177016,184.88624458290124,191.94783352278503,219.25653642596254,187.789091448074,27.32,379
10TH WARD - PITTSBURGH,174.26660651393902,192.4178262934006,195.44917526229807,202.03849705629017,218.39967108862714,221.05838917536062,26.85,530
COLLIER,151.7765588243538,178.3244354691703,189.018948668273,197.88316849061675,214.83348089591155,188.29394689092672,24.06,392
KENNEDY,143.42273192837618,166.23701243846102,177.40812564421594,177.8513701245782,190.63589145730757,177.73751255325055,23.93,398
7TH WARD - PITTSBURGH,239.3677922958737,243.92127909372158,259.18301716273254,266.5949391201904,308.11372849241513,296.0534902049605,23.68,545
20TH WARD - PITTSBURGH,95.43662617878371,95.21764915747073,105.62979419093982,120.4130902239605,125.18089358466293,117.99667893548228,23.64,466
19TH WARD - PITTSBURGH,127.69487656480989,136.75548299025405,155.67283804273785,161.7528276530445,170.9574893114236,155.30245382050717,21.62,1221
WEST DEER,149.04546720522745,151.53503807009497,179.09313112672058,179.79886030405936,205.89399675854114,174.50358170245198,17.08,444
